Date,Salesrep key,Product key,Customer key,Location key,Units sold
01/01/2016,60,35,45,1,13
01/01/2016,56,61,19,5,14
01/01/2016,43,29,8,22,10
01/01/2016,40,70,53,10,11
01/01/2016,22,17,60,16,15
01/01/2016,1,51,43,3,12
01/01/2016,57,55,31,3,11
01/01/2016,83,26,56,24,16
01/01/2016,48,79,47,13,11
01/01/2016,7,78,18,25,12
01/01/2016,61,26,43,22,15
01/01/2016,63,88,19,14,10
01/01/2016,81,37,40,23,12
01/01/2016,14,11,58,5,16
01/01/2016,51,41,44,18,17
01/01/2016,77,69,6,10,12
01/01/2016,3,79,19,2,14
01/01/2016,69,58,19,26,18
01/01/2016,23,60,59,11,14
01/01/2016,85,79,2,1,17
01/01/2016,41,18,2,25,14
01/01/2016,71,7,50,13,12
01/01/2016,44,38,26,15,11
01/01/2016,20,7,57,23,10
01/01/2016,78,18,19,16,18
01/01/2016,9,88,30,18,15
01/01/2016,54,7,5,6,13
01/01/2016,28,51,11,25,13
01/01/2016,66,63,20,25,11
01/01/2016,77,26,11,9,15
01/01/2016,82,43,57,11,14
01/01/2016,59,62,30,15,15
01/01/2016,37,51,45,14,16
01/01/2016,38,72,16,26,17
01/01/2016,46,37,8,20,10
01/01/2016,79,51,10,19,16
01/01/2016,6,74,16,26,11
01/01/2016,41,17,9,18,14
01/01/2016,66,61,12,3,15
01/01/2016,64,2,46,25,10
01/01/2016,84,22,39,12,14
01/01/2016,70,72,34,22,10
01/01/2016,45,57,48,18,11
01/01/2016,11,23,52,22,14
01/01/2016,54,44,14,23,17
01/01/2016,85,69,44,17,13
01/01/2016,57,33,6,15,12
01/01/2016,38,40,60,7,13
01/01/2016,10,5,38,12,14
01/01/2016,18,11,53,22,12
01/01/2016,44,3,28,26,10
01/01/2016,4,31,10,22,18
01/01/2016,85,58,38,8,14
01/01/2016,17,81,47,7,12
01/01/2016,36,21,52,18,14
01/01/2016,61,49,30,9,11
01/01/2016,43,24,45,23,10
01/01/2016,57,69,49,22,18
01/01/2016,32,8,10,20,15
01/01/2016,33,12,41,8,12
01/01/2016,56,9,36,18,17
01/01/2016,48,65,28,8,12
01/01/2016,51,46,15,24,16
01/01/2016,50,84,27,24,13
01/01/2016,47,20,2,22,13
01/01/2016,51,73,50,23,13
01/01/2016,28,9,57,9,15
01/01/2016,69,68,39,13,11
01/01/2016,70,36,4,1,13
01/01/2016,63,80,24,3,11
01/01/2016,7,16,11,14,12
01/01/2016,82,18,42,11,18
01/01/2016,68,12,30,7,15
01/01/2016,53,10,25,12,13
01/01/2016,78,14,13,22,13
